date;time(local time);altitude (m);longitude;latitude
2017-11-01;10:09:18.-1;208.10000610;77.07485962;28.48648643
2017-11-01;10:09:19.-1;208.10000610;77.07485962;28.48648643
2017-11-01;10:09:20.-1;208.10000610;77.07485962;28.48648262
2017-11-01;10:09:21.-1;208.19999695;77.07485199;28.48647881
2017-11-01;10:09:22.-1;208.19999695;77.07485199;28.48647881
2017-11-01;10:09:23.-1;208.19999695;77.07485199;28.48647881
2017-11-01;10:09:24.-1;208.19999695;77.07485199;28.48647881
2017-11-01;10:09:25.-1;208.19999695;77.07484436;28.48647881
2017-11-01;10:09:26.-1;208.19999695;77.07485199;28.48647881
2017-11-01;10:09:27.-1;208.10000610;77.07485199;28.48648643
2017-11-01;10:09:28.-1;208.10000610;77.07485199;28.48648643
2017-11-01;10:09:29.-1;208.00000000;77.07485962;28.48649025
2017-11-01;10:09:30.-1;208.10000610;77.07485962;28.48649406
2017-11-01;10:09:31.-1;208.10000610;77.07485962;28.48649406
2017-11-01;10:09:32.-1;208.10000610;77.07485962;28.48649406
2017-11-01;10:09:33.-1;208.10000610;77.07485962;28.48649025
2017-11-01;10:09:34.-1;208.10000610;77.07485199;28.48649025
2017-11-01;10:09:35.-1;208.10000610;77.07485199;28.48648643
2017-11-01;10:09:36.-1;208.10000610;77.07485199;28.48648643
2017-11-01;10:09:37.-1;208.10000610;77.07485199;28.48648643
2017-11-01;10:09:38.-1;208.10000610;77.07485199;28.48648643
2017-11-01;10:09:39.-1;208.10000610;77.07485199;28.48648643
2017-11-01;10:09:40.-1;208.10000610;77.07485199;28.48648643
2017-11-01;10:09:41.-1;208.10000610;77.07484436;28.48648262
2017-11-01;10:09:42.-1;208.19999695;77.07484436;28.48648262
2017-11-01;10:09:43.-1;208.19999695;77.07484436;28.48648262
2017-11-01;10:09:44.-1;208.19999695;77.07484436;28.48648262
2017-11-01;10:09:45.-1;208.19999695;77.07484436;28.48647881
2017-11-01;10:09:46.-1;208.19999695;77.07484436;28.48647881
2017-11-01;10:09:47.-1;208.19999695;77.07484436;28.48647881
2017-11-01;10:09:48.-1;208.19999695;77.07484436;28.48647881
2017-11-01;10:09:49.-1;208.19999695;77.07484436;28.48647881
